t_s,theta_rad_clean,omega_rad_s_clean,theta_rad_noisy,omega_rad_s_noisy
2.200000,-0.4930382695,0.3607396714,-0.4698916838,0.3638378785
2.210000,-0.4889676675,0.4532633284,-0.5076403195,0.4596010972
2.220000,-0.4839756198,0.5450019113,-0.4771130179,0.5491399023
2.230000,-0.4780707842,0.6357940325,-0.4941979429,0.6339411559
2.240000,-0.4712634310,0.7254786173,-0.4759827497,0.7241804103
2.250000,-0.4635654392,0.8138950155,-0.4526759333,0.8143331302
2.260000,-0.4549902917,0.9008831384,-0.4543474915,0.8994131184
2.270000,-0.4455530687,0.9862836247,-0.4563305165,0.9959224159
2.280000,-0.4352704396,1.0699380360,-0.4424234767,1.0920432660
2.290000,-0.4241606527,1.1516890857,-0.4173646752,1.1461141679
2.300000,-0.4122435222,1.2313809002,-0.4195471885,1.2176828704
2.310000,-0.3995404129,1.3088593146,-0.3973758270,1.3079764941
2.320000,-0.3860742212,1.3839722012,-0.3856185028,1.4097692945
2.330000,-0.3718693533,1.4565698317,-0.3783853568,1.4485330861
2.340000,-0.3569516989,1.5265052706,-0.3355122580,1.5428964387
2.350000,-0.3413486014,1.5936347974,-0.3350094112,1.6104118055
2.360000,-0.3250888233,1.6578183556,-0.3453402492,1.6522824732
2.370000,-0.3082025077,1.7189200253,-0.3063379646,1.7246098561
2.380000,-0.2907211340,1.7768085134,-0.2973389987,1.7930924797
2.390000,-0.2726774692,1.8313576595,-0.2641531359,1.8275663821
2.400000,-0.2541055144,1.8824469497,-0.2620307217,1.8804111461
2.410000,-0.2350404450,1.9299620350,-0.2361878094,1.9241452259
2.420000,-0.2155185474,1.9737952463,-0.2104686746,1.9636476790
2.430000,-0.1955771488,2.0138461012,-0.1869195968,2.0073533258
2.440000,-0.1752545434,2.0500217958,-0.1872575075,2.0377823931
2.450000,-0.1545899132,2.0822376743,-0.1579349256,2.0825785090
2.460000,-0.1336232439,2.1104176716,-0.1383726970,2.1027179393
2.470000,-0.1123952373,2.1344947215,-0.1189285296,2.1368325806
2.480000,-0.0909472194,2.1544111251,-0.0732926770,2.1388521686
2.490000,-0.0693210448,2.1701188744,-0.0652712277,2.1734276767
2.500000,-0.0475589987,2.1815799259,-0.0601678382,2.1899152155
2.510000,-0.0257036959,2.1887664202,-0.0165250765,2.1688290638
2.520000,-0.0037979783,2.1916608449,0.0174235836,2.1954014106
2.530000,0.0181151894,2.1902561369,0.0284398420,2.2025328268
2.540000,0.0399928242,2.1845557247,0.0247991246,2.1724593146
2.550000,0.0617920300,2.1745735079,0.0569496893,2.1912992318
2.560000,0.0834701015,2.1603337751,0.0961392130,2.1645239652
2.570000,0.1049846278,2.1418710624,0.0979079331,2.1348209438
2.580000,0.1262935937,2.1192299526,0.1307317880,2.1186722618
2.590000,0.1473554791,2.0924648201,0.1551018196,2.0980480892
2.600000,0.1681293552,2.0616395242,0.1588600505,2.0623995781
2.610000,0.1885749780,2.0268270556,0.1879797244,2.0322146155
2.620000,0.2086528772,1.9881091410,0.1762402038,1.9789024051
2.630000,0.2283244419,1.9455758124,0.2180805655,1.9472694206
2.640000,0.2475520009,1.8993249458,0.2450263194,1.8851878008
2.650000,0.2662988990,1.8494617762,0.2538210672,1.8483495156
2.660000,0.2845295683,1.7960983955,0.3008536814,1.7870593191
2.670000,0.3022095937,1.7393532397,0.2879081799,1.7319979403
2.680000,0.3193057742,1.6793505707,0.3149053293,1.6917115025
2.690000,0.3357861781,1.6162199606,0.3370935839,1.6271330618
2.700000,0.3516201943,1.5500957823,0.3660329272,1.5561871635
2.710000,0.3667785771,1.4811167129,0.3524199555,1.4701935852
2.720000,0.3812334869,1.4094252552,0.3928651244,1.4062611707
2.730000,0.3949585268,1.3351672798,0.3950608574,1.3472982568
2.740000,0.4079287732,1.2584915931,0.3981136867,1.2599087622
2.750000,0.4201208038,1.1795495337,0.4247418386,1.2027428291
2.760000,0.4315127208,1.0984945995,0.4335033177,1.1024277779
2.770000,0.4420841704,1.0154821072,0.4360820017,1.0174025984
2.780000,0.4518163603,0.9306688849,0.4525143812,0.9275777203
2.790000,0.4606920725,0.8442129993,0.4568389365,0.8455484083
2.800000,0.4686956749,0.7562735156,0.4698308483,0.7547488173
2.810000,0.4758131303,0.6670102908,0.4824344370,0.6740913776
2.820000,0.4820320031,0.5765837975,0.4978921713,0.5861508206
2.830000,0.4873414651,0.4851549769,0.4749633101,0.4772950823
2.840000,0.4917322991,0.3928851194,0.5130626329,0.3795727898
2.850000,0.4951969025,0.2999357679,0.4756760245,0.2815737142
2.860000,0.4977292886,0.2064686425,0.4962114376,0.2115485558
2.870000,0.4993250889,0.1126455818,0.5052082609,0.1016119158
2.880000,0.4999815535,0.0186284976,0.5027914721,-0.0029004083
2.890000,0.4996975519,-0.0754206613,0.4934705567,-0.0715348752
2.900000,0.4984735732,-0.1693399401,0.4963923507,-0.1444099449
2.910000,0.4963117258,-0.2629674086,0.4913817165,-0.2630281177
2.920000,0.4932157373,-0.3561411941,0.4873220897,-0.3477562864
2.930000,0.4891909535,-0.4486995237,0.4976869744,-0.4478812301
2.940000,0.4842443371,-0.5404807760,0.4878144920,-0.5414696726
2.950000,0.4783844662,-0.6313235506,0.4714553703,-0.6221327858
2.960000,0.4716215314,-0.7210667548,0.4806175301,-0.7239695003
2.970000,0.4639673320,-0.8095497144,0.4670403272,-0.8068757913
2.980000,0.4554352717,-0.8966123094,0.4635638929,-0.8933953313
2.990000,0.4460403518,-0.9820951377,0.4523366402,-0.9887760423
3.000000,0.4357991633,-1.0658397105,0.4275092132,-1.0559192870
3.010000,0.4247298764,-1.1476886782,0.4191280660,-1.1494382758
3.020000,0.4128522284,-1.2274860906,0.4203251645,-1.2350435422
3.030000,0.4001875076,-1.3050776905,0.4062912102,-1.2997125921
3.040000,0.3867585350,-1.3803112413,0.3865495191,-1.3892959212
3.050000,0.3725896427,-1.4530368870,0.3737629165,-1.4527550754
3.060000,0.3577066476,-1.5231075438,0.3704832966,-1.5231987338
3.070000,0.3421368218,-1.5903793219,0.3362211080,-1.5795203662
3.080000,0.3259088587,-1.6547119725,0.3313798325,-1.6499649901
3.090000,0.3090528338,-1.7159693592,0.3070309073,-1.7162196288
3.100000,0.2916001614,-1.7740199484,0.2894233494,-1.7658422854
3.110000,0.2735835462,-1.8287373132,0.2845713147,-1.8148352377
3.120000,0.2550369293,-1.8800006481,0.2632910928,-1.8744225450
3.130000,0.2359954296,-1.9276952866,0.2441305260,-1.9275917604
3.140000,0.2164952800,-1.9717132170,0.2295500681,-1.9848315794
3.150000,0.1965737580,-2.0119535894,0.1967837964,-2.0226047260
3.160000,0.1762691116,-2.0483232083,0.1830886414,-2.0513754553
3.170000,0.1556204809,-2.0807370038,0.1525178133,-2.0868321258
3.180000,0.1346678137,-2.1091184757,0.1379094772,-2.1109881887
3.190000,0.1134517785,-2.1334001031,0.1121503480,-2.1328336039
3.200000,0.0920136727,-2.1535237155,0.0929836324,-2.1482267880
3.210000,0.0703953270,-2.1694408181,0.0763468973,-2.1701458059
3.220000,0.0486390077,-2.1811128684,0.0404568008,-2.1762478519
3.230000,0.0267873155,-2.1885114985,0.0477111883,-2.1878667543
3.240000,0.0048830837,-2.1916186806,-0.0051770901,-2.2113733463
3.250000,-0.0170307268,-2.1904268332,-0.0291726129,-2.1998201871
3.260000,-0.0389111314,-2.1849388649,-0.0273300227,-2.1863797405
3.270000,-0.0607152272,-2.1751681585,-0.0527986002,-2.1872651059
3.280000,-0.0824002969,-2.1611384910,-0.0761590987,-2.1551392037
3.290000,-0.1039239128,-2.1428838954,-0.0976404577,-2.1275763871
3.300000,-0.1252440376,-2.1204484626,-0.1253665053,-2.1082608441
3.310000,-0.1463191245,-2.0938860892,-0.1552916682,-2.0960205179
3.320000,-0.1671082132,-2.0632601727,-0.1663501676,-2.0483529113
3.330000,-0.1875710237,-2.0286432605,-0.1943426408,-2.0271565860
3.340000,-0.2076680452,-1.9901166570,-0.1979168479,-1.9934875167
3.350000,-0.2273606224,-1.9477699934,-0.2288311962,-1.9539040200
3.360000,-0.2466110357,-1.9017007686,-0.2548660077,-1.9047254654
3.370000,-0.2653825781,-1.8520138649,-0.2685964365,-1.8558956331
3.380000,-0.2836396259,-1.7988210469,-0.2795103114,-1.7971168847
3.390000,-0.3013477058,-1.7422404485,-0.3069849513,-1.7406347087
3.400000,-0.3184735550,-1.6823960554,-0.3266957589,-1.6823655952
3.410000,-0.3349851781,-1.6194171889,-0.3325483060,-1.6150478072
3.420000,-0.3508518972,-1.5534379958,-0.3484022315,-1.5415315330
3.430000,-0.3660443981,-1.4845969517,-0.3711138298,-1.4751014104
3.440000,-0.3805347708,-1.4130363810,-0.3852451538,-1.4278853607
3.450000,-0.3942965460,-1.3389019978,-0.3919760466,-1.3644412091
3.460000,-0.4073047266,-1.2623424729,-0.4217855700,-1.2529992738
3.470000,-0.4195358155,-1.1835090287,-0.4336104532,-1.1971778157
3.480000,-0.4309678386,-1.1025550645,-0.4381522808,-1.1048027185
3.490000,-0.4415803656,-1.0196358141,-0.4437148371,-1.0313369444
3.500000,-0.4513545263,-0.9349080378,-0.4482454507,-0.9529278422
3.510000,-0.4602730246,-0.8485297468,-0.4455194624,-0.8431151195
3.520000,-0.4683201495,-0.7606599621,-0.4597435533,-0.7530684105
3.530000,-0.4754817848,-0.6714585057,-0.4770811701,-0.6772236097
3.540000,-0.4817454155,-0.5810858234,-0.4819355776,-0.6069962464
3.550000,-0.4871001336,-0.4897028365,-0.4971254272,-0.4951652810
3.560000,-0.4915366421,-0.3974708203,-0.4917217735,-0.3935527802
3.570000,-0.4950472583,-0.3045513073,-0.4979338447,-0.3193404230
3.580000,-0.4976259156,-0.2111060102,-0.4943987300,-0.2092724110
3.590000,-0.4992681653,-0.1172967629,-0.5075404748,-0.1174498614
3.600000,-0.4999711774,-0.0232854746,-0.4947777123,-0.0174925596
3.610000,-0.4997337412,0.0707659071,-0.4844063520,0.0719617108
3.620000,-0.4985562655,0.1646954270,-0.4996438670,0.1549647376
3.630000,-0.4964407786,0.2583411527,-0.4924236614,0.2703068677
3.640000,-0.4933909280,0.3515412081,-0.4864894881,0.3499559124
3.650000,-0.4894119793,0.4441338140,-0.4934241840,0.4438607686
3.660000,-0.4845108153,0.5359573402,-0.4822698905,0.5266246606
3.670000,-0.4786959342,0.6268503732,-0.4785700102,0.6224175507
3.680000,-0.4719774466,0.7166518030,-0.4710006856,0.7078037758
3.690000,-0.4643670725,0.8052009315,-0.4720971704,0.8034714709
3.700000,-0.4558781362,0.8923376075,-0.4556330345,0.9094546923
3.710000,-0.4465255601,0.9779023895,-0.4415455772,0.9641833780
3.720000,-0.4363258567,1.0617367380,-0.4218144206,1.0456011240
3.730000,-0.4252971183,1.1436832413,-0.4157044101,1.1583949446
3.740000,-0.4134590049,1.2235858733,-0.3919271804,1.2214926365
3.750000,-0.4008327285,1.3012902855,-0.4085062041,1.2945995582
3.760000,-0.3874410347,1.3766441331,-0.3787178283,1.3870431800
3.770000,-0.3733081813,1.4494974332,-0.3714747612,1.4434412778
3.780000,-0.3584599123,1.5197029553,-0.3365618830,1.5379630524
3.790000,-0.3429234287,1.5871166408,-0.3510064115,1.5938958995
3.800000,-0.3267273542,1.6515980499,-0.3351245726,1.6467189358
3.810000,-0.3099016970,1.7130108312,-0.3158956234,1.7345839133
3.820000,-0.2924778061,1.7712232113,-0.3137167634,1.7651660620
3.830000,-0.2744883237,1.8261084985,-0.2797458739,1.8335294522
3.840000,-0.2559671308,1.8775455969,-0.2635584574,1.8805385227
3.850000,-0.2369492897,1.9254195239,-0.2354453518,1.9384369368
3.860000,-0.2174709795,1.9696219261,-0.2140534198,1.9852370381
3.870000,-0.1975694278,2.0100515874,-0.1788077194,2.0103716289
3.880000,-0.1772828365,2.0466149219,-0.1677785981,2.0390807431
3.890000,-0.1566503030,2.0792264468,-0.1624193396,2.0838261683
3.900000,-0.1357117377,2.1078092277,-0.1446958844,2.1010320740
3.910000,-0.1145077753,2.1322952901,-0.1095885835,2.1524291626
